,synratio,morphratio,orig.uncomp,orig.comp
romanian5,0.911167512690355,-0.994416243654822,4196,1970
romanian6,0.916607270135424,-1,6241,2806
romanian7,0.914094650205761,-0.989197530864197,4183,1944
romanian8,0.915766738660907,-1.0077136686208,7300,3241
romanian9,0.919666540356196,-1.0106100795756,5990,2639
spanish1,0.915492957746479,-1.01664532650448,7174,3124
spanish10,0.926416482707873,-1.03127299484915,6305,2718
spanish11,0.919199141937791,-1.01322845906328,6330,2797
spanish12,0.92779632721202,-1.02295492487479,5583,2396
spanish13,0.911706349206349,-1.02430555555556,4616,2016
spanish14,0.923704135119394,-1.01281304601048,3895,1717
spanish15,0.927146171693735,-1.03248259860789,5103,2155
spanish16,0.922265625,-1.01953125,5913,2560
spanish17,0.922606034105815,-1.0166156536948,5153,2287
spanish18,0.920474991003958,-1.02051097517092,6478,2779
spanish19,0.916924436588599,-1.02165267344233,5202,2263
spanish2,0.927372596887397,-1.0155630149527,7497,3277
spanish20,0.928708133971292,-1.04066985645933,4965,2090
spanish3,0.920210764019571,-1.00414000752729,5894,2657
spanish4,0.919145690312738,-1.00724637681159,5764,2622
spanish5,0.918849133161195,-1.0092216894135,6111,2711
spanish6,0.908638464273018,-1.03626022040526,6435,2813
spanish7,0.927252378287633,-1.02630106323447,3991,1787
spanish8,0.912949861581052,-1.01691787142418,7389,3251
spanish9,0.922283609576427,-1.01178637200737,6131,2715
swedish1,0.919733613739923,-1.02523659305994,6793,2853
swedish10,0.910532736884913,-1.00447336315575,5626,2459
swedish11,0.929755327545383,-1.02801894238358,6047,2534
swedish12,0.913080895008606,-1.0197934595525,5535,2324
swedish13,0.913393279697113,-1.04212020823474,5155,2113
swedish14,0.916191562143672,-1.01482326111745,4064,1754
swedish15,0.923611111111111,-1.02132936507937,4705,2016
swedish16,0.928779069767442,-1.03682170542636,4938,2064
swedish17,0.922284644194757,-1.0187265917603,4990,2136
swedish18,0.922762718158188,-1.04158930560713,6666,2693
swedish19,0.925241864555849,-1.03078276165347,5443,2274
swedish2,0.923476968796434,-1.02340267459138,6376,2692
swedish20,0.924928366762178,-1.03954154727794,4167,1745
swedish3,0.923608445297505,-1.01036468330134,6173,2605
swedish4,0.913378684807256,-1.00725623582766,4924,2205
swedish5,0.922282120395328,-1.01662174303684,5072,2226
swedish6,0.920125293657009,-1.01761942051684,5870,2554
swedish7,0.913892078071183,-0.992537313432836,3920,1742
swedish8,0.911539861667273,-1.01310520567892,6424,2747
swedish9,0.92564870259481,-1.02694610778443,4757,2004
